method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,complete_pseudologlik,score_norm,minimum_ess,maximum_invalid_fraction,unique_initial_ancestors,backward_fallbacks,accepted_step_size,backtrack_count,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,0,15.718029147014022,-6213.326621917971,28117.75002755609,14737.781124246592,161.7496320539406,0.0033999999999999586,3,0,0.2,0,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093505,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
DS order-1.5 block Gaussian,20,0,1,29.056223482009955,-5282.886510188768,29622.96983249732,25012.28707103219,21.37442282441495,0.029799999999999938,1,0,0.2,0,14.906535846777865,0.3331749946587953,12.916382387555291,-0.01,1.5698395948442725,0.4942228323608633,1.851969992446134,4.957343478418416,-2.4294251436487344,4.662077689299096,4.8002256095706946,2.6620006298349512,-3.95943824099925,-2.5527504724133236,-0.72654678286018,-6.552280418474677,-6.810965975383963,-9.621106160418927,0.3011271259408127,0.15742531945265947,0.13288400298364406,0.10743642568207107,0.3011271259408127,2.701799764208508,-1.0990874175475756,2.5584964581836545,-1.0,0.45097344525162186,-0.7047687858455866,1.851969992446134,4.957343478418416,-2.4294251436487344,4.662077689299096,4.8002256095706946,2.6620006298349512,-3.95943824099925,-2.5527504724133236,-0.72654678286018,-6.552280418474677,-6.810965975383963,-9.621106160418927,0.0,-0.6485813372946057,-0.8180559312515575,-1.030633237280235,0.0
DS order-1.5 block Gaussian,20,0,2,42.472046824987046,-4708.049862966862,30466.768330317456,1613.4102442776523,4.024472382492598,0.07839999999999991,1,0,0.2,0,16.879446065909576,0.3008051321178957,14.690046693214782,-0.01,1.8864958275996784,0.5,1.679145664884024,4.791736651936574,-2.6181447646948586,4.462048307490645,4.600770366193101,2.474170571654451,-4.128203957219398,-2.731190701406676,-0.9219632419197362,-6.751545125995919,-6.977999218300941,-9.821361652015527,0.2922480923976082,0.15203058939644026,0.13702068578553078,0.1146613055330585,0.30403932688736235,2.826096672628737,-1.2012926254898457,2.6871701687521967,-1.0,0.634721048704796,-0.6931471805599453,1.679145664884024,4.791736651936574,-2.6181447646948586,4.462048307490645,4.600770366193101,2.474170571654451,-4.128203957219398,-2.731190701406676,-0.9219632419197362,-6.751545125995919,-6.977999218300941,-9.821361652015527,-0.039553984765972695,-0.6930753111721601,-0.797025152235011,-0.9751744442602641,0.0
DS order-1.5 block Gaussian,20,0,3,55.88825806893874,-4464.30439671479,30675.23873775514,5953.104100315077,26.179121338374618,0.14679999999999993,1,0,0.2,0,17.494853314054918,0.291566808339196,14.72329833834018,-0.008765686642425068,2.165813999783137,0.5,1.7237622736985805,4.696050399950882,-2.763791791461526,4.3222280162431845,4.45423354741569,2.3958308027931086,-4.011507764242796,-2.880439010265214,-1.0603750471823103,-6.885656975694716,-7.111768486579715,-9.700004082200351,0.27482888211990925,0.15190310280539254,0.14117794882628634,0.12544191090085435,0.3066481553475575,2.86190674133494,-1.2324861113235746,2.689431160098482,-0.8765686642425068,0.7727962722152308,-0.6931471805599453,1.7237622736985805,4.696050399950882,-2.763791791461526,4.3222280162431845,4.45423354741569,2.3958308027931086,-4.011507764242796,-2.880439010265214,-1.0603750471823103,-6.885656975694716,-7.111768486579715,-9.700004082200351,-0.1095523594019944,-0.7024581805309101,-0.7756798734780987,-0.8938582264852774,0.0
DS order-1.5 block Gaussian,20,0,4,69.3044249539962,-4291.454863755283,30514.609697516215,12701.398332236755,17.15056019250926,0.2076,1,0,0.2,0,19.249154269105162,0.2629358300687227,14.531558827062389,-0.0074724644855730825,2.4664515157060123,0.5,1.8061676235521464,4.71909336535788,-2.9018456851384085,4.180892672475483,4.307375463534071,2.369654770530164,-3.8860541106620006,-3.005998303189565,-1.1924328515017357,-7.017681568850258,-7.252234448704595,-9.576591042163459,0.25634715446201867,0.14545874042315132,0.15006976829889507,0.13995178424744043,0.3081725525684945,2.9574671256962044,-1.3358452687094302,2.6763227551768423,-0.7472464485573083,0.9027804843754083,-0.6931471805599453,1.8061676235521464,4.71909336535788,-2.9018456851384085,4.180892672475483,4.307375463534071,2.369654770530164,-3.8860541106620006,-3.005998303189565,-1.1924328515017357,-7.017681568850258,-7.252234448704595,-9.576591042163459,-0.18412726375076094,-0.7507673862893962,-0.7195595537590019,-0.7893618966541422,0.0
DS order-1.5 block Gaussian,20,0,5,82.72210704197641,-4205.518514302921,30739.833286588924,20179.054728231094,14.897557795527069,0.2672,2,0,0.2,0,19.569274510816037,0.2592591188377346,14.96030942073713,-0.00628184445708323,2.7528547836542674,0.5,1.8998434667803221,4.788978606281268,-3.023945848376501,4.050829179457093,4.172824730858215,2.369087974847906,-3.7656894688489553,-3.115454822143085,-1.31307525206112,-7.136411718798568,-7.378915156629167,-9.45968825614886,0.23920689648760302,0.13823901548278705,0.16226605465191837,0.1575288756717863,0.3027591577059052,2.9739607092244498,-1.3499272585750433,2.70540065553679,-0.628184445708323,1.012638476369031,-0.6931471805599453,1.8998434667803221,4.788978606281268,-3.023945848376501,4.050829179457093,4.172824730858215,2.369087974847906,-3.7656894688489553,-3.115454822143085,-1.31307525206112,-7.136411718798568,-7.378915156629167,-9.45968825614886,-0.23560877725422338,-0.7839534471515768,-0.623700329607166,-0.6533288513249461,0.0
DS order-1.5 block Gaussian,20,0,6,96.1401724399766,-4152.222621415628,30441.624322878823,5979.287609086002,10.81160743910348,0.3263999999999999,1,0,0.2,0,20.583606162194656,0.24582577989744542,14.559953850772024,-0.005200545723512054,3.0270454436390364,0.5,1.990158991804528,4.870290987236445,-3.130406288327409,3.9354459817913345,4.054246143454236,2.395291686681979,-3.6563762058602602,-3.211817027856268,-1.4212768510349338,-7.241969203261625,-7.490507677891847,-9.352491443481144,0.2209873565925426,0.1293310357743657,0.18052754884576153,0.18143783762414048,0.2877162211631897,3.0244949415955973,-1.4031322057492202,2.678274873173683,-0.5200545723512054,1.1075870426916867,-0.6931471805599453,1.990158991804528,4.870290987236445,-3.130406288327409,3.9354459817913345,4.054246143454236,2.395291686681979,-3.6563762058602602,-3.211817027856268,-1.4212768510349338,-7.241969203261625,-7.490507677891847,-9.352491443481144,-0.26386916129015214,-0.7995993650166784,-0.46609125987168454,-0.4610615485708558,0.0
DS order-1.5 block Gaussian,20,0,7,109.55796220898628,-4139.549539477039,30411.116476975014,943.708223341733,3.8686870424527453,0.33399999999999996,1,0,0.2,0,22.033708313245093,0.22719227288215485,13.594929032563783,-0.004101096153276511,3.2944482925061154,0.5,2.105532802357827,4.974469166173541,-3.2289487136064072,3.8280300817448243,3.9519784736080164,2.4921154608851928,-3.5457261084810874,-3.301562329180754,-1.5248069100753945,-7.340385285411544,-7.590560541306791,-9.234817121094391,0.19947684805784427,0.11794817822959958,0.20555167819580558,0.21337128801045277,0.2636520075062978,3.092573476800164,-1.481958602915284,2.6096968579578106,-0.41010961532765106,1.192238716152534,-0.6931471805599453,2.105532802357827,4.974469166173541,-3.2289487136064072,3.8280300817448243,3.9519784736080164,2.4921154608851928,-3.5457261084810874,-3.301562329180754,-1.5248069100753945,-7.340385285411544,-7.590560541306791,-9.234817121094391,-0.2789319004724606,-0.8043847197751198,-0.24893260250567895,-0.21159629582266398,0.0
DS order-1.5 block Gaussian,20,0,8,122.97599258401897,-4108.024324942833,30078.99202303814,8435.291184540738,8.846008523321235,0.366,1,0,0.2,0,23.2049051293021,0.20728515922278093,13.218369676864496,-0.0028611071044556723,3.558573678854835,0.5,2.240887005373595,5.102030413772385,-3.3103959894776724,3.725527390800137,3.9464991971165175,2.6015706901201248,-3.4269361826487494,-3.3693929377218605,-1.6511245503673968,-7.460149966396396,-7.67800132346111,-9.097454598290566,0.18039286419637868,0.10683082726687101,0.23165730002162402,0.24123680670271624,0.23988220181241016,3.144363684311677,-1.5736598529242727,2.5816075043424878,-0.28611071044556724,1.2693598125744106,-0.6931471805599453,2.240887005373595,5.102030413772385,-3.3103959894776724,3.725527390800137,3.9464991971165175,2.6015706901201248,-3.4269361826487494,-3.3693929377218605,-1.6511245503673968,-7.460149966396396,-7.67800132346111,-9.097454598290566,-0.29064200008732716,-0.8145325217839843,-0.04051992696309681,0.0,-0.005631074415103021
DS order-1.5 block Gaussian,20,0,9,136.39339607697912,-4104.518433202203,29722.395898204697,9939.521959741016,8.039301592859822,0.3952,1,0,0.2,0,24.34711162408082,0.18970336774472607,12.340374431991416,-0.0017849117375714884,3.811955690769003,0.5,2.3759792163891076,5.230371091944468,-3.3814201435642457,3.6351520350494466,3.9478415285704007,2.708523996666155,-3.3109632174401864,-3.4310786388663623,-1.7687752341381144,-7.568094452179206,-7.749060598813434,-8.964541241282816,0.16965785151604437,0.10063194614878491,0.2513594476116983,0.2513594476116983,0.22699130711177398,3.192413223358535,-1.662293649195451,2.512876360965965,-0.17849117375714885,1.3381423621066157,-0.6931471805599453,2.3759792163891076,5.230371091944468,-3.3814201435642457,3.6351520350494466,3.9478415285704007,2.708523996666155,-3.3109632174401864,-3.4310786388663623,-1.7687752341381144,-7.568094452179206,-7.749060598813434,-8.964541241282816,-0.39310020607506907,-0.9154142135003247,0.0,0.0,-0.1019722548202694
